ID,機能群,概要,優先度,受け入れ条件
EPIC-01,事業プロフィール,屋号、住所公開方針、税務署、開業日、申告方式、インボイス登録有無を保存,Must,プロフィールを作成/編集でき、期限計算に使える
EPIC-02,法令・税務チェックリスト,開業届、青色申告、特商法、プライバシー、景表法、著作権、商標をチェック管理,Must,各項目に期限、証跡ファイル、出典URL、状態を持てる
EPIC-03,商品・サブスク管理,デジタル商品のSKU、価格、税込表示、ライセンス、動作環境、サブスクプランを管理,Must,商品ページ掲載に必要な項目の欠落を警告する
EPIC-04,契約・規約管理,特商法表記、利用規約、プライバシーポリシー、受託契約テンプレの版管理,Should,公開版、草案、改定履歴、次回見直し日を保存する
EPIC-05,売上・請求,注文、入金、返金、請求書、適格請求書項目、源泉徴収メモを管理,Must,CSVインポート/エクスポートと月次集計ができる
EPIC-06,経費・証憑,経費、領収書、サブスク費、機材、減価償却メモを管理,Should,添付ファイルと取引メモを保存できる
EPIC-07,コンテンツ制作,企画、制作、権利確認、販売準備、公開、更新、廃止までのワークフロー,Should,公開前チェックで未処理の権利・表示項目を検出する
EPIC-08,顧客・同意管理,顧客情報は最小限にし、問い合わせ・メルマガ同意・配信停止を記録,Should,同意日時、取得経路、撤回日時を監査できる
EPIC-09,ダッシュボード,MRR、売上、未収、返金率、解約率、粗利、今月の期限を表示,Could,CSVから月次KPIを再計算できる
EPIC-10,ローカルバックアップ,暗号化バックアップ、復元テスト、外部ドライブ保存、バックアップ履歴,Must,バックアップを作成/復元でき、復元テストログが残る
EPIC-11,AI非依存モード,AIなしで全機能が動く。任意でローカルLLM/Ollamaに接続可能,Must,ネットワーク無効状態でも主要操作が成功する
EPIC-12,監査ログ,重要データの作成・変更・削除を追跡,Should,いつ誰が何を変えたかをCSVで出力できる
