フェーズ,分類,タスク,優先度,証跡/成果物,状態,主な出典
0. 独立前判断,事業範囲,EC・デジタル販売・サブスク・受託制作を分けて売上源を定義する,高,事業メモ/サービス一覧,未,
0. 独立前判断,会社・副業,現職の就業規則、副業規程、競業避止、職務著作・発明、機密保持を確認する,高,就業規則の該当箇所メモ,未,
0. 独立前判断,資金,最低6-12か月の生活費、税金・保険料、広告費、外注費、サーバー費を分けて資金計画を作る,高,資金表,未,
1. 商品設計,デジタル商品,販売するファイル、講座、テンプレ、会員限定投稿、素材集などのSKUを決める,高,商品台帳,未,
1. 商品設計,ライセンス,個人利用/商用利用/再配布禁止/返金条件/更新権利を商品ごとに定義する,高,ライセンス文面,未,S11
1. 商品設計,サブスク,月額/年額、無料期間、更新日、解約後の閲覧可否、日割り有無を決める,高,プラン表,未,S6
2. 税務初期,開業届,個人事業の開廃業等届出書を提出する。2026-01-01現在の国税庁TaxAnswerでは提出期限は「事業開始日の属する年分の確定申告期限まで」,高,控え/受付番号,未,S1
2. 税務初期,青色申告,青色申告承認申請書を提出する。原則3月15日、1月16日以後の新規開業は開始日から2か月以内,高,控え/受付番号,未,S1/S2
2. 税務初期,帳簿,複式簿記、売上/経費/固定資産/売掛金、領収書・請求書の保存ルールを決める,高,会計運用ルール,未,S2/S4
2. 税務初期,インボイス,B2B受託や法人顧客が多い場合は適格請求書発行事業者登録の損益を試算する,中,登録判断メモ,未,S3/S4
2. 税務初期,価格表示,消費者向け価格は税込総額表示を前提にサイト・決済画面を設計する,高,価格表示チェック,未,S5
3. EC基盤,販売チャネル,自社EC、マーケットプレイス、会員サイトを比較し、手数料・顧客データ・規約変更リスクを確認する,高,チャネル比較表,未,
3. EC基盤,決済,クレカ/銀行振込/コンビニ/PayPal等を選び、返金・チャージバック対応を定める,高,決済設定メモ,未,
3. EC基盤,特商法表示,氏名/名称、住所、電話番号、販売価格、支払時期・方法、引渡時期、返品・解除条件等を表示する,高,特商法ページ,未,S6
3. EC基盤,最終確認画面,数量、価格、支払時期・方法、引渡時期、申込期間、撤回・解除事項を一覧で確認できる画面にする,高,画面キャプチャ,未,S6
3. EC基盤,動作環境,ソフトウェア/テンプレ/デジタルツールはOS・アプリ・バージョン等の動作環境を商品ページに書く,中,商品ページ,未,S6
3. EC基盤,メール広告,メルマガ/販促メールはオプトイン・配信停止・同意記録管理を用意する,中,同意ログ,未,S6
4. 法務・表示,利用規約,アカウント、禁止事項、決済、返金、権利帰属、免責、解約、準拠法、変更通知を定める,高,利用規約,未,
4. 法務・表示,プライバシーポリシー,取得項目、利用目的、第三者提供/委託、問い合わせ、保管期間、安全管理を整理する,高,プライバシーポリシー,未,S9
4. 法務・表示,景品表示法,No.1、完全保証、必ず稼げる等の表示は根拠を保管し、ステマ・PR表記も管理する,高,広告根拠ファイル,未,S10
4. 法務・表示,著作権,素材/音楽/フォント/AI生成物/二次創作の利用許諾を商品ごとに記録する,高,権利処理台帳,未,S11
4. 法務・表示,商標,屋号・サービス名・商品名の商標検索と出願判断を行う,中,検索結果メモ,未,S12
5. サブスク運用,解約導線,解約方法を分かりやすく、購入前・会員画面・FAQに書く,高,解約画面/FAQ,未,S6
5. サブスク運用,継続課金,更新日、更新価格、請求タイミング、無料期間終了後の扱いを明確化する,高,プラン表/最終確認画面,未,S6
5. サブスク運用,会員コンテンツ,退会後閲覧、過去投稿の扱い、限定配布物の利用範囲を定義する,中,会員規約,未,
6. フリーランス受託,取引条件,見積書・発注書・業務委託契約で成果物、納期、報酬、検収、支払期日、修正回数を明示する,高,契約テンプレ,未,S7
6. フリーランス受託,支払管理,入金予定、未収、督促、請求書発行、源泉徴収有無を案件ごとに管理する,高,請求管理表,未,S3/S7
6. フリーランス受託,権利帰属,著作権譲渡/利用許諾/ポートフォリオ掲載可否/二次利用を契約で決める,高,契約書,未,S11
7. 運用,会計ルーチン,週1回の売上・経費登録、月1回の利益/税金見込み確認、四半期の価格見直しを行う,高,月次レビュー,未,S2
7. 運用,サポート,問い合わせ窓口、対応時間、返金基準、障害時通知、FAQを決める,中,サポート手順,未,
7. 運用,セキュリティ,2FA、パスワード管理、バックアップ、権限分離、端末紛失時対応を整備する,高,セキュリティ手順,未,S9
8. ローカルアプリ,要件定義,業務をアプリに任せる範囲と、税理士/会計ソフト/EC管理画面に残す範囲を分ける,高,要件定義書,未,
8. ローカルアプリ,MVP,事業台帳、商品台帳、契約/規約、注文/売上、経費、期限、証跡、バックアップをMVPにする,高,MVPバックログ,未,
8. ローカルアプリ,クラウド非依存,実行時はSQLite/ローカルファイル/ローカルバックアップで完結し、AI APIなしで全機能が動く設計にする,高,アーキテクチャ図,未,S14/S15
